cidade	bairro	school
Campina Grande	Catingueira	Estadual da Prata
Campina Grande	Monte Santo	Estadual da Prata
Campina Grande	José Pinheiro	EEEFM Nenzinha Cunha Lima
Mogeiro	Centro - Mogeiro	EEEM Otávia Silveira
Campina Grande	Chico Mendes	Estadual da Prata
Campina Grande	Ramadinha	EEEFM Severino Cabral
Campina Grande	Bela Vista	EEEFM Monte Carmelo
Mogeiro	Centro - Mogeiro	EEEM Otávia Silveira
Campina Grande	Prata	Estadual da Prata
Campina Grande	Cruzeiro	EEEFM Raul Córdula
Campina Grande	São José da Mata	EEEFM José Miguel Leão
Campina Grande	Liberdade	EEEFM Félix Araújo
Campina Grande	São José 	Estadual da Prata
Campina Grande	Catolé	Escola Normal
Campina Grande	Liberdade	EEEFM Félix Araújo
Campina Grande	Ramadinha	EEEFM Severino Cabral
Campina Grande	Jardim Paulistano	Estadual da Prata
Campina Grande	Catolé	Escola Normal
Campina Grande	Castelo Branco	Estadual da Prata
Campina Grande	Castelo Branco	Estadual da Prata
Campina Grande	Novo Horizonte	Estadual da Prata
Campina Grande	Rosa Cruz	EEEFM Raul Córdula
Campina Grande	Vila Cabral	Escola Normal
Campina Grande	São José da Mata	EEEFM José Miguel Leão
Campina Grande	Ressurreição	Estadual da Prata
Campina Grande	Liberdade	EEEFM Félix Araújo
Campina Grande	São José da Mata	EEEFM José Miguel Leão
Campina Grande	Cruzeiro	EEEFM Raul Córdula
Campina Grande	São José da Mata	EEEFM José Miguel Leão
Campina Grande	Cinza	Estadual da Prata
Campina Grande	São José da Mata	EEEFM José Miguel Leão
Campina Grande	Prata	Estadual da Prata
Campina Grande	Bodocongó	Estadual da Prata
Campina Grande	Dinamérica	EEEFM Raul Córdula
Campina Grande	Dinamérica	EEEFM Raul Córdula
Campina Grande	Jardim Paulistano	Estadual da Prata
Campina Grande	Monte Santo	Estadual da Prata
Campina Grande	Monte Santo	Estadual da Prata
Campina Grande	Bodocongó	Estadual da Prata
Campina Grande	Monte Santo	Estadual da Prata
Campina Grande	Monte Santo	Estadual da Prata
Campina Grande	Santa Cruz	EEEFM Raul Córdula
Campina Grande	Liberdade	EEEFM Félix Araújo
Campina Grande	Jardim Paulistano	Estadual da Prata
Campina Grande	José Pinheiro	EEEFM Nenzinha Cunha Lima
Campina Grande	Jardim Tavares	Estadual da Prata
Campina Grande	Centro	EEEFM Solon de Lucena
Campina Grande	Centenário	Estadual da Prata
Campina Grande	Cruzeiro	EEEFM Raul Córdula
Campina Grande	Santa Cruz	Estadual da Prata
Campina Grande	Liberdade	EEEFM Félix Araújo
Campina Grande	Mutirão	Estadual da Prata
Campina Grande	Cruzeiro	EEEFM Raul Córdula
Campina Grande	Malvinas	Estadual da Prata
Campina Grande	Bela Vista	EEEFM Severino Cabral
Caturité	Centro- Caturité	EEEFM Félix Araújo
Campina Grande	Malvinas	EEEFM Severino Cabral
Campina Grande	Novo Bodocongo	Estadual da Prata
Campina Grande	Pedregal	Estadual da Prata
Campina Grande	Pedregal	EEEFM Monte Carmelo
Campina Grande	Bodocongó	EEEFM Monte Carmelo
Campina Grande	Catolé	EEEFM Raul Córdula
Campina Grande	Bodocongó	EEEFM Severino Cabral
Campina Grande	Presidente Médici	EEEFM Raul Córdula
Campina Grande	Palmeira	Escola Normal
Campina Grande	Araxá	Escola Normal
Campina Grande	Malvinas	EEEFM Nenzinha Cunha Lima
Campina Grande	Conceição	EEEFM Solon de Lucena
Campina Grande	Malvinas	EEEFM Severino Cabral
Campina Grande	Bodocongó	Estadual da Prata
Mogeiro	Centro - Mogeiro	EEEM Otávia Silveira
Campina Grande	Monte Santo	Escola Normal
Campina Grande	Bodocongó	EEEFM Severino Cabral
Campina Grande	Cruzeiro	EEEFM Raul Córdula
Campina Grande	José Pinheiro	EEEFM Nenzinha Cunha Lima
Campina Grande	Malvinas	Estadual da Prata
Campina Grande	José Pinheiro	Escola Normal
Campina Grande	Cruzeiro	EEEFM Raul Córdula
Campina Grande	São José da Mata	EEEFM José Miguel Leão
Campina Grande	Catolé	Estadual da Prata
Campina Grande	Bela Vista	EEEFM Severino Cabral
Campina Grande	Bela Vista	EEEFM Monte Carmelo
Campina Grande	Liberdade	Estadual da Prata
Campina Grande	Severino Cabral	Estadual da Prata
Campina Grande	Lagoa de Dentro	Estadual da Prata
